Time	[0:22]	[0:23]	[0:24]	[0:25]	[0:26]	[12:1]	[12:2]	[12:3]	[12:4]	[12:6]	[12:7]	[12:8]	[12:9]	[12:10]	[12:11]	[13:0]	[13:2]	[13:4]	[13:6]	[14:21]	[14:22]	[14:23]	[14:24]	[14:25]	[35:12]	[36:12]	[37:12]	[38:12]	[39:12]
time	Std1LinSpdRef	Std2LinSpdRef	Std3LinSpdRef	Std4LinSpdRef	Std5LinSpdRef	InterStd12TenRef	InterStd23TenRef	InterStd34TenRef	InterStd45TenRef	InterStd01TenActFlt	InterStd12TenActFlt	InterStd23TenActFlt	InterStd34TenActFlt	InterStd45TenActFlt	InterStd5TenrTenActFlt	X0.ThkAct	X1.ThkAct	X4.ThkAct	X5A.ThkAct	Std1ThkRef	Std2ThkRef	Std3ThkRef	Std4ThkRef	Std5ThkRef	1#HgcSrgActOS	2#HgcSrgActOS	3#HgcSrgActOS	4#HgcSrgActOS	5#HgcSrgActOS	
0.054	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.0743	18.3518	11.8611	7.95742	4.95874	1.47281	2.1819	1.49724	0.370612	0.25293	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.763992	1.31953	2.95932
0.056	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.0743	18.3518	11.8611	7.95742	4.95874	1.47281	2.1819	1.49724	0.370612	0.25293	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.763992	1.31953	2.95932
0.058	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.0743	18.3518	11.8611	7.95742	4.95874	1.47281	2.1819	1.49724	0.370612	0.25293	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.763992	1.31953	2.95932
0.06	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.1819	1.4948	0.370612	0.252812	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764008	1.31902	2.95992
0.062	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.1819	1.4948	0.370612	0.252812	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764008	1.31902	2.95992
0.064	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.1819	1.4948	0.370612	0.252812	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764008	1.31902	2.95992
0.066	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.1819	1.4948	0.370612	0.252812	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764008	1.31902	2.95992
0.068	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.1819	1.4948	0.370612	0.252812	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764008	1.31902	2.95992
0.07	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252688	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764877	1.31895	2.96024
0.072	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252688	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764877	1.31895	2.96024
0.074	194.82	313.764	481.471	800.292	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252688	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764877	1.31895	2.96024
